cat: /opt/samplegenerator_code/src/ginstall_8_32/ginstall_8_32.opts: No such file or directory
[0;34m[INFO][0m: /opt/tigress/3.1/tigress --Environment=x86_64:Linux:Gcc:12.1     --gcc="/usr/sbin/musl-gcc -mno-mmx -mno-sse -Wl,-Map=% -O0"     --Transform=Info --InfoKind=* --Transform=Flatten --Functions=have_same_content,extra_mode,need_copy,cp_option_init,setdefaultfilecon,target_directory_operand,announce_mkdir,make_ancestor,process_dir,copy_file,change_attributes,change_timestamps,strip,get_ids,usage,install_file_in_file,mkancesdirs_safe_wd,install_file_in_file_parents,install_file_in_dir,main /opt/samplegenerator_code/src/ginstall_8_32/ginstall_8_32.c --out=ginstall_8_32.c -o ginstall_8_32 
treating long double constant 3.3621031431120935063e-4932L as double constant at lib/ftoastr.c:132.
digraph G {
parse_expression -> externalFun___builtin_unreachable
parse_expression -> externalFun___builtin_expect
parse_expression -> create_token_tree
parse_expression -> fetch_token
parse_expression -> create_tree
parse_expression -> parse_sub_exp
parse_expression -> parse_bracket_exp
parse_expression -> parse_expression
parse_expression -> init_word_char
parse_expression -> build_charclass_op
parse_expression -> parse_dup_op
parse_expression -> postorder
read_file -> internal_read_file
debug_print_current_time -> externalFun_fputs
debug_print_current_time -> externalFun_fputc
debug_print_current_time -> externalFun_fprintf
debug_print_current_time -> dbg_printf
debug_print_current_time -> str_days
debug_print_current_time -> time_zone_str
base64_decode_ctx -> decode_4
base64_decode_ctx -> get_4
count_leading_zeros_ll -> externalFun___builtin_clzll
argv_iter -> externalFun_feof
argv_iter -> externalFun_getdelim
backup_file_rename -> backupfile_internal
match_ctx_clean -> externalFun_free
get_8 -> externalFun_memchr
ambsalign -> externalFun_free
ambsalign -> externalFun_realloc
ambsalign -> mbsalign
group_member -> get_group_info
group_member -> free_group_info
_obstack_begin_1 -> _obstack_begin_worker
printf_fetchargs -> externalFun___builtin_va_arg
quotearg_n_mem -> quotearg_n_options
re_node_set_merge -> externalFun_memcpy
re_node_set_merge -> externalFun___builtin_expect
re_node_set_merge -> externalFun_realloc
fts_lfree -> externalFun_free
fts_lfree -> externalFun_closedir
get_version -> __xargmatch_internal
strip -> externalFun_waitpid
strip -> externalFun___builtin_unreachable
strip -> externalFun_execlp
strip -> externalFun___errno_location
strip -> externalFun_fork
strip -> error
strip -> quotearg_style
canonicalize_file_name -> canonicalize_filename_mode
extent_scan_read -> externalFun___assert_fail
extent_scan_read -> externalFun_ioctl
extent_scan_read -> externalFun_memset
extent_scan_read -> xnrealloc
filemodestring -> strmode
hash_find_entry -> safe_hasher
hash_find_entry -> free_entry
vasnprintf -> externalFun_snprintf
vasnprintf -> externalFun_abort
vasnprintf -> externalFun_memcpy
vasnprintf -> externalFun_realloc
vasnprintf -> externalFun_malloc
vasnprintf -> externalFun___builtin_alloca
vasnprintf -> externalFun___errno_location
vasnprintf -> externalFun_free
vasnprintf -> printf_parse
vasnprintf -> printf_fetchargs
vasnprintf -> xsum4
vasnprintf -> xsum
vasnprintf -> xmax
mfile_name_concat -> externalFun_mempcpy
mfile_name_concat -> externalFun_malloc
mfile_name_concat -> externalFun_strlen
mfile_name_concat -> last_component
mfile_name_concat -> base_len
transit_state_bkref -> externalFun_free
transit_state_bkref -> externalFun___builtin_unreachable
transit_state_bkref -> externalFun___builtin_expect
transit_state_bkref -> re_string_context_at
transit_state_bkref -> get_subexp
transit_state_bkref -> re_acquire_state_context
transit_state_bkref -> re_node_set_init_union
transit_state_bkref -> check_subexp_matching_top
transit_state_bkref -> transit_state_bkref
xnumtoumax -> externalFun___errno_location
xnumtoumax -> xstrtoumax
xnumtoumax -> quote
xnumtoumax -> error
free_state -> externalFun_free
savewd_process_files -> savewd_init
savewd_process_files -> savewd_delegating
savewd_process_files -> savewd_restore
savewd_process_files -> savewd_finish
hash_free -> externalFun_free
leave_dir -> externalFun_free
leave_dir -> externalFun_abort
leave_dir -> hash_delete
ext_wmatch -> externalFun_wcscat
ext_wmatch -> externalFun___assert_fail
ext_wmatch -> externalFun_wmemcpy
ext_wmatch -> externalFun___builtin_alloca
ext_wmatch -> externalFun_getenv
ext_wmatch -> externalFun_wcslen
ext_wmatch -> internal_fnwmatch
match_ctx_add_entry -> externalFun_memset
match_ctx_add_entry -> externalFun_free
match_ctx_add_entry -> externalFun___builtin_expect
match_ctx_add_entry -> externalFun_realloc
install_file_in_file_parents -> mkancesdirs_safe_wd
install_file_in_file_parents -> install_file_in_file
add_exclude_file -> externalFun_fclose
add_exclude_file -> externalFun_fopen
add_exclude_file -> add_exclude_fp
di_set_insert -> map_device
di_set_insert -> map_inode_number
di_set_insert -> hash_insert_if_absent
memchr2 -> externalFun_memchr
c_strtod -> externalFun_strtod_l
c_strtod -> c_locale
glthread_recursive_lock_lock_multithreaded -> externalFun_pthread_mutex_unlock
glthread_recursive_lock_lock_multithreaded -> externalFun_pthread_mutex_lock
glthread_recursive_lock_lock_multithreaded -> glthread_recursive_lock_init_multithreaded
merge_state_with_log -> externalFun_free
merge_state_with_log -> externalFun___builtin_expect
merge_state_with_log -> re_node_set_init_union
merge_state_with_log -> re_string_context_at
merge_state_with_log -> re_acquire_state_context
merge_state_with_log -> check_subexp_matching_top
merge_state_with_log -> transit_state_bkref
careadlinkatcwd -> externalFun_readlink
careadlinkatcwd -> externalFun_abort
streamsavedir -> externalFun_stpcpy
streamsavedir -> externalFun_qsort
streamsavedir -> externalFun_free
streamsavedir -> externalFun_memcpy
streamsavedir -> externalFun_strlen
streamsavedir -> externalFun_readdir
streamsavedir -> externalFun___errno_location
streamsavedir -> x2nrealloc
streamsavedir -> xstrdup
streamsavedir -> xalloc_die
streamsavedir -> xmalloc
streamsavedir -> xrealloc
dirent_inode_sort_may_be_useful -> filesystem_type
rpl_re_compile_fastmap -> externalFun_memset
rpl_re_compile_fastmap -> re_compile_fastmap_iter
hash_rehash -> externalFun_abort
hash_rehash -> externalFun_free
hash_rehash -> externalFun_calloc
hash_rehash -> compute_bucket_size
hash_rehash -> transfer_entries
glthread_recursive_lock_unlock_multithreaded -> externalFun_pthread_mutex_unlock
mb_copy -> externalFun_memcpy
rpl_regexec -> externalFun_strlen
rpl_regexec -> re_search_internal
long_int_avg -> shr
glthread_recursive_lock_init_multithreaded -> externalFun_pthread_mutex_init
